"sample","sample_short","sample_short10","condition","group","gene","expr"
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","PTEN",11.233170646373
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","PTEN",11.4441472131335
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","RB1",8.97762639043675
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","RB1",9.20022170045076
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","RB1",9.18824687260761
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","RB1",9.3022967299106
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","RB1",9.3257598630665
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","RB1",9.15210122083273
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","TTF1",8.8799004852774
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","TTF1",9.03305580894658
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","TTF1",9.1714600370264
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","TTF1",9.11777616641954
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","TTF1",8.8057921914309
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","TTF1",9.27665833056554
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","INSM1",5.18491006459463
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","INSM1",5.3579275267403
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","INSM1",5.50745523266119
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","INSM1",5.22570276440214
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","INSM1",5.22827945224309
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","INSM1",4.74300583880508
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","ACP3",10.7571260853093
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","ACP3",11.2099658534806
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","ACP3",11.350014167795
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","ACP3",9.5556697261247
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","ACP3",10.1964302941925
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","ACP3",10.8073674636354
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","CHGA",7.47076048578308
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","CHGA",6.25280342190961
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","CHGA",7.8897470803594
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","CHGA",5.36426426779546
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","CHGA",6.3877344083975
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","CHGA",6.54457047218508
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","CHGB",4.74300583880508
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","CHGB",5.24633990722894
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","CHGB",5.01604480744752
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","CHGB",4.74300583880508
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","CHGB",4.74300583880508
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","CHGB",5.12231174203096
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","TFRC",11.5290123117942
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","TFRC",12.1832714699143
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","TFRC",13.0738347602698
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","TFRC",11.8895865904682
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","TFRC",11.5579058662653
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","TFRC",11.1623775960382
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","NCAM1",10.3653183720136
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","NCAM1",10.2597366471618
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","NCAM1",10.1065212192699
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","NCAM1",10.5237108315433
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","NCAM1",10.3293219535808
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","NCAM1",10.6057647604315
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","SCG2",4.74300583880508
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","SCG2",4.74300583880508
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","SCG2",5.01604480744752
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","SCG2",4.74300583880508
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","SCG2",4.74300583880508
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","SCG2",5.01160069428371
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","SYP",4.74300583880508
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","SYP",5.60629662045504
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","SYP",6.03863492586092
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","SYP",5.8033619157566
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","SYP",5.57587835134456
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","SYP",5.621486505014
"C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1","C2917WT","C2917WT_MK","control","control","FOLH1",4.74300583880508
"C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1","C2893WT","C2893WT_MK","control","control","FOLH1",4.74300583880508
"C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1","C2890WT","C2890WT_MK","control","control","FOLH1",5.01604480744752
"M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1","M2915WT","M2915WT_MK","treated","treated","FOLH1",5.02255519579148
"M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1","M2916WT","M2916WT_MK","treated","treated","FOLH1",5.22827945224309
"M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1","M2927WT","M2927WT_MK","treated","treated","FOLH1",5.20689693978366
