"gene_symbol","WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1_WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1","WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1_WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1","WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1_WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1","WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1_WT2909P_OE_MKRN260030413-1A_23M5KWLT4_L1","WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1_WT2910C_OE_MKRN260030408-1A_23M5KWLT4_L1","WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1_WT2921C_OE_MKRN260030407-1A_23M5KWLT4_L1","WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1_WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1","KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1_KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1","KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1_KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1","KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1_KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1","KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1_KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1","KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1_KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1","KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1_KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1","KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1_KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1"
"Taf4b",297.350029772677,378.206686116675,306.481470704105,253.819822005963,287.11382390626,281.056766420812,294.893552621222,286.728051999188,316.435735902055,237.40406563329,265.474816266915,278.546999789219,218.968612640825,332.225904013542
"Taf5",316.570373902469,396.169008940158,300.603743868683,351.886571417358,293.880816388899,309.585084816909,280.404563041567,260.007875110375,280.210769502493,270.113070231655,290.239258082858,246.484035784705,310.935429949972,295.001713087655
"Taf5l",1409.86877234421,1531.78697411371,1243.55906332268,1283.52069082561,1189.05725052087,1251.01959188812,1412.25033726406,1265.0976057742,1085.68355179863,1169.08313209638,1105.48468266372,1078.1171646518,1032.43700860149,1233.05132442001
"Taf6",617.312229109815,704.522217409954,646.54995189633,473.027850102022,719.234629583358,427.924775941462,662.232053140721,604.287077331623,352.660702301617,498.020973239614,344.721030077934,478.940524817435,559.464805297308,668.174227119673
"Taf6l",499.728947374612,406.148077175427,413.959904266092,517.254031209121,517.19156831599,483.924808348616,525.865092391023,345.306901332356,316.435735902055,303.877204010612,309.060233862975,353.6945716748,386.479601311056,331.295299240395
"Taf7",150.370927603673,104.780216470319,156.179598769763,170.174653390361,158.540966736117,256.754865564877,156.822004862153,196.290530221667,175.797631056697,188.86812332604,174.341670384243,219.430909905896,179.554262365477,169.370068712786
"Taf7l",0,0.997906823526847,0,2.88431615915867,0,0,0.852293504685612,1.0276991111082,0,0,0,0,0,0
"Taf8",507.643206722174,502.945039057531,523.117688352485,573.017476952856,544.259538246547,544.151258295933,611.94673636427,547.763626220672,492.233366958752,354.523404679047,465.571506139739,481.946427692858,489.394849252244,495.081739314298
"Taf9",429.63122172478,373.716105410804,327.053514628079,453.799075707631,330.615918437511,453.811583374957,330.689879818018,411.079644443281,279.678049408382,282.774620398764,322.433032443585,296.582417041759,304.913793102349,347.115580383897
"Taf9b",96.1017206489639,78.834639058621,75.5707735982724,65.3778329409298,67.6699248263912,117.283086739512,81.8201764498188,80.1605306664398,88.4315356224598,61.1974924743593,89.1519905373968,82.1613452615683,127.001795331679,107.019548911925
