"T cells","CD8 T cells","Cytotoxic lymphocytes","B lineage","NK cells","Monocytic lineage","Myeloid dendritic cells","Neutrophils","Endothelial cells","Fibroblasts","sample_id","immune_group"
0.218761164877261,1.87779195608722,-0.948333560063667,2.02849110451931,-3.9873102121899,2.60330555880292,-0.0911735352627771,0.609773432509937,1.96492692531572,5.65456325439037,"TCGA-KK-A7AW-01A-11R-A32O-07","High"
1.12865502798291,0.838519594718501,-1.86751415896224,4.68010864762858,-3.73688088869575,2.60554512290912,-0.51572511365747,0.207929393237954,2.29964407286512,6.0639999777067,"TCGA-ZG-A9N3-01A-11R-A41O-07","High"
1.18769895782332,3.92186308607475,-1.75663727643742,1.28113663233097,-4.27633767322108,2.90460766921076,-1.61830727903643,0.241324590635678,2.87891601756285,8.38849930975606,"TCGA-J9-A52E-01A-11R-A26U-07","High"
-0.559127705663995,1.36997025932586,-0.296487622913537,0.109925491765967,-3.25638055866671,2.78595624679293,-2.47914972217245,1.18854874933929,2.28272298561307,4.54566680215933,"TCGA-FC-A4JI-01A-11R-A250-07","High"
0.509009567035749,0.961978846609952,-0.972757202673761,0.785121430757094,-3.32181679133512,2.88408169110314,-1.05520136756817,0.991213896832062,3.17783080784656,7.63308123512568,"TCGA-HC-A8D1-01A-11R-A36G-07","High"
-0.34605244601072,0.51123918512107,-1.81905242832342,1.01440255475453,-4.4618242042762,1.41454082132212,-2.39491424205945,-0.0197307435463693,2.43995195572883,6.02245604005048,"TCGA-VN-A88M-01A-11R-A352-07","Low"
0.608455510018133,0.454605890085725,-0.845692966057708,1.48737347097255,-2.71629172942506,3.81449032082676,0.120245668104451,1.6920481580893,3.5701698413134,8.52839412674833,"TCGA-CH-5771-01A-21R-1580-07","High"
-0.850515213225271,1.23139841397513,-1.42002575920458,-0.757515039095183,-3.71870813150137,1.86808717127166,-0.744373969305009,1.02208002948293,2.01793421634304,6.50349202858784,"TCGA-HC-A6HY-01A-11R-A31N-07","Low"
-1.07036756587308,0.077911045065906,-1.96118597366151,-0.410875985889542,-4.43747951773434,1.34335872549642,-2.0534990721415,0.0265889926748865,2.76361735699623,6.88469794310747,"TCGA-G9-6343-01A-21R-1965-07","Low"
-0.263164404580768,-0.995329608413255,-2.23398016142138,-0.36460582796477,-3.91289424521725,2.02905605631862,-1.44097301957557,0.755622771157456,2.05959412973161,6.43317161977432,"TCGA-EJ-A65E-01A-11R-A29R-07","Low"
-1.52398866581956,-0.972272215790279,-2.54349870414195,-1.0512445918324,-5.17819306281256,1.72653600072539,-1.71317474046942,0.10163200574567,1.05824834843136,6.04001817070573,"TCGA-M7-A722-01A-12R-A36G-07","Low"
