"cell_type","sample","score"
"Lymphatics","KO2913C_OE",39.8611322563965
"Lymphatics","C2890WT",7.57366579653611
"Lymphatics","C2917WT",15.5888383229746
"Lymphatics","C2893WT",7.18769694259549
"Lymphatics","WT2868C",15.8246692924206
"Lymphatics","WT2881C",7.14931699651782
"Lymphatics","WT2882C",8.70569543681093
"Lymphatics","KO2868C",111.051961508912
"Lymphatics","KO2881C",43.0678876107277
"Lymphatics","KO2882C",10.3533720345594
"Endothelial cells","WT2921C_OE",62.0008314499329
"Endothelial cells","WT2910C_OE",74.5065061899249
"Endothelial cells","WT2898C_OE",120.327372196076
"Endothelial cells","WT2965C_OE",90.2591719836085
"Endothelial cells","KO2912C_OE",173.140687345145
"Endothelial cells","KO2918C_OE",145.792158189738
"Endothelial cells","KO2960C_OE",76.8085447701627
"Endothelial cells","KO2913C_OE",107.829473155124
"Endothelial cells","C2890WT",99.2991737768068
"Endothelial cells","C2917WT",104.667914454258
"Endothelial cells","C2893WT",111.0499177631
"Endothelial cells","WT2868C",63.8847760323646
"Endothelial cells","WT2881C",79.1924344229666
"Endothelial cells","WT2882C",112.593660982755
"Endothelial cells","KO2868C",87.8652882268318
"Endothelial cells","KO2881C",82.822860789861
"Endothelial cells","KO2882C",113.416484560401
"Fibroblasts","WT2921C_OE",128.896465382755
"Fibroblasts","WT2910C_OE",168.38470398923
"Fibroblasts","WT2898C_OE",128.09042846679
"Fibroblasts","WT2965C_OE",128.816488170781
"Fibroblasts","KO2912C_OE",138.946758496417
"Fibroblasts","KO2918C_OE",180.823489486212
"Fibroblasts","KO2960C_OE",118.601429424516
"Fibroblasts","KO2913C_OE",133.892521168922
"Fibroblasts","C2890WT",192.707718600752
"Fibroblasts","C2917WT",208.222340456875
"Fibroblasts","C2893WT",183.645656883315
"Fibroblasts","WT2868C",73.8484566979627
"Fibroblasts","WT2881C",109.43954479285
"Fibroblasts","WT2882C",91.6999919344085
"Fibroblasts","KO2868C",29.2884294089439
"Fibroblasts","KO2881C",35.8899063422731
"Fibroblasts","KO2882C",58.3553696493348
