"gene","genotype","sex","n","mean_expr","median_expr","sd_expr"
"PTEN","WT","Male",4,11.1946044771429,11.1358197635906,0.135877023092707
"PTEN","WT","Female",6,11.3200485223722,11.3398704689708,0.199864544763145
"PTEN","KO","Male",4,11.0328667973901,11.0064504767673,0.20490054647324
"PTEN","KO","Female",3,11.0158005441436,11.0019569624048,0.176665554867759
"RB1","WT","Male",4,9.24961749206043,9.13792613024236,0.454683792472408
"RB1","WT","Female",6,9.1675842063757,9.11988963360563,0.244809502677487
"RB1","KO","Male",4,9.1405475688051,9.15850863564862,0.0982877066656432
"RB1","KO","Female",3,8.91856393353374,8.86858059278203,0.105405643998512
"SCG2","WT","Male",4,5.34201595926863,5.34201595926863,0
"SCG2","WT","Female",6,5.43249066426726,5.34201595926863,0.145855344758468
"SCG2","KO","Male",4,5.44590545421358,5.34201595926863,0.2077789898899
"SCG2","KO","Female",3,5.41520150447886,5.34201595926863,0.126761082683738
"SYP","WT","Male",4,6.12337106278042,6.12195234439445,0.156590989533515
"SYP","WT","Female",6,6.06115810017699,6.17078169027317,0.39618840038385
"SYP","KO","Male",4,6.02561651077629,6.03961079888569,0.219345117466361
"SYP","KO","Female",3,6.13706797454382,6.19634826893969,0.122944382296752
"TFRC","WT","Male",4,11.3395684215441,11.3312670789294,0.159772027162664
"TFRC","WT","Female",6,11.7543467498885,11.4771763811606,0.606229278954682
"TFRC","KO","Male",4,11.3296085608743,11.258740574797,0.26417769427341
"TFRC","KO","Female",3,11.5415122522004,11.6198776359967,0.146675168253783
"TMPRSS2","WT","Male",4,5.50019778237452,5.49169268060154,0.183179921292112
"TMPRSS2","WT","Female",6,5.50890517030247,5.34201595926863,0.26313588348797
"TMPRSS2","KO","Male",4,5.34201595926863,5.34201595926863,0
"TMPRSS2","KO","Female",3,5.34201595926863,5.34201595926863,0
"TTF1","WT","Male",4,8.78872346354983,8.80626181278534,0.10265821975216
"TTF1","WT","Female",6,8.74614693463501,8.69155411941149,0.223690560492834
"TTF1","KO","Male",4,8.67874735982408,8.71426368981916,0.192371180247022
"TTF1","KO","Female",3,8.55550795000028,8.5729433858368,0.0599035742351015
"VIM","WT","Male",4,17.2414581878089,17.181364716091,0.287641149398539
"VIM","WT","Female",6,17.1705105301907,17.3224793121078,0.348706570144295
"VIM","KO","Male",4,17.2999644531817,17.306288132802,0.134043408737087
"VIM","KO","Female",3,16.9845277371571,16.9827122875775,0.214078760017607
