"gene_id","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"276","80070",0.0840252582165535,5.29900717747333,1.45839519923454,0.146793018772296,0.273331852532137,-5.71978329928596
"17794","139562",0.116015127445958,6.87560216082,1.45819328012409,0.146848583237374,0.273415778121087,-5.72007177266829
"18492","5586",-0.163597050555248,8.23768199785333,-1.45809633607367,0.146875266247274,0.273445921493014,-5.72021025878008
"6847","389844",0.123635056301321,8.26449660842667,1.45786674796751,0.146938473319337,0.273496330223643,-5.72053819332986
"237","100",0.0900444698155853,7.54140787460667,1.45784949667369,0.146943223559131,0.273496330223643,-5.72056283236645
"17616","390081",0.146124717435919,5.82109106238667,1.45784877245137,0.146943422980372,0.273496330223643,-5.72056386672559
"7011","8811",0.130650391470464,7.7060292948,1.45784550303835,0.146944323245759,0.273496330223643,-5.72056853620706
"16063","79258",0.110262534412214,6.99727823528,1.45744486501836,0.147054675155178,0.273682172537407,-5.72114066333805
"18242","5189",0.105329528438729,7.36803986309333,1.45726930314849,0.147103052153748,0.273748089338977,-5.72139132454684
"4709","55208",0.0649065307263914,8.64051233358667,1.45724008926882,0.147111103384744,0.273748089338977,-5.72143303227232
"25250","254887",0.0932139817593445,8.01261069686,1.45716002716899,0.147133169930455,0.27376960194343,-5.72154733021604
"8416","83982",0.0977610189971898,7.91423165609333,1.45702583524194,0.14717016135592,0.273796782000369,-5.7217388910823
"15288","642946",0.147204451683404,5.24953651826667,1.4570091837652,0.147174752012562,0.273796782000369,-5.72176266010383
"1518","388552",0.0456905468300555,11.8147186750667,1.45699269531162,0.14717929783419,0.273796782000369,-5.72178619615902
"6728","2350",0.0936165861607083,7.05356187522667,1.45689057820757,0.147207453655868,0.273818483881348,-5.72193195504955
"16124","9643",-0.16610080398795,9.41132078602667,-1.45684937288973,0.147218816001502,0.273818483881348,-5.72199076747171
"1077","84164",-0.0724714105239013,8.35021727384,-1.45683606215303,0.14722248657514,0.273818483881348,-5.7220097655639
"1889","84520",0.0627522192844543,7.37036779052667,1.45666482350895,0.147269713708463,0.273886773446248,-5.72225415528569
"23327","7066",0.131628909003214,7.08653561192667,1.45656829776477,0.147296340390028,0.273916744039374,-5.72239190335239
"21726","1318",0.0862628766854172,7.87625562046667,1.45641183949415,0.147339507387853,0.273961826738353,-5.72261515990513
"13819","646470",-0.0934311784548045,7.24788538930667,-1.45640422134828,0.147341609491462,0.273961826738353,-5.72262602994639
"26033","728228",0.121654203131779,7.07921854563333,1.45585401606955,0.147493490932326,0.274224663256669,-5.72341095067685
"15407","347731",0.123210971754514,6.96758854291333,1.45575723796219,0.147520218543165,0.274254788829017,-5.72354898413397
"20627","401895",0.12639570710968,7.79874686510667,1.45565015647641,0.147549796037397,0.27429020794254,-5.72370170278071
"14925","729734",0.136142644600241,7.73598581706667,1.45557221697833,0.147571326960696,0.274298363596566,-5.72381285252065
"18070","5098",-0.115839324110087,8.46984301826667,-1.45555807004427,0.147575235336117,0.274298363596566,-5.72383302688314
"22784","6811",-0.105390311437928,8.77852853867333,-1.45540122342549,0.147618572726729,0.274359345744657,-5.72405668664156
"1257","57571",0.101304700651266,8.27424376894,1.45530601841305,0.147644883068661,0.2743886755018,-5.72419243542467
"9433","353288",0.0757809161365985,5.84402216296,1.45515869865121,0.147685602693873,0.274444777907697,-5.72440247539983
"7513","11250",0.181367143409802,6.77579031024667,1.45491619777425,0.147752649541131,0.274549792811775,-5.72474817407035
"18194","55066",-0.100542531218162,9.68408318772,-1.45481622644398,0.14778029653615,0.274581586269913,-5.7248906725318
"2453","401027",0.134469875202484,6.76734345339333,1.45453298439887,0.147858648586698,0.274707580459203,-5.72529435214331
"14626","728867",0.141536253147447,6.69654302809333,1.4544352589725,0.1478856893956,0.274738231978323,-5.72543361374174
"21718","7781",0.111338941961026,7.88197116874,1.45427991611096,0.147928680910957,0.274775376998311,-5.72565496315185
"15181","731779",0.149144022904383,5.95556571759333,1.45427905402607,0.147928919521954,0.274775376998311,-5.72565619148006
"23800","7138",0.114161090421855,7.29459068973333,1.45417538712257,0.14795761499061,0.274775376998311,-5.72580389448968
"2765","203076",0.137810069608673,6.80075743817333,1.45415233932737,0.147963995308328,0.274775376998311,-5.72583673124287
"9440","3884",0.110026727347127,7.65399321771333,1.45414937746508,0.147964815255618,0.274775376998311,-5.72584095104326
"21307","51639",0.114062917875454,7.38159431688,1.45413444225381,0.147968949898971,0.274775376998311,-5.72586222928892
"16479","4627",-0.119548853557664,9.8990485803,-1.45409434746758,0.147980050125369,0.27477640916467,-5.72591935141463
"21465","89790",0.0871081067874613,8.56435644116,1.45403124989387,0.147997519965941,0.274784553390204,-5.72600924198491
"18043","56132",0.175614294430291,8.78239289118,1.45396432996224,0.148016049842477,0.274784553390204,-5.72610457384937
"15274","254531",0.0922476850586555,8.11870129787333,1.45393010976796,0.148025525976836,0.274784553390204,-5.72615332112886
"2649","253582",0.0920257040180781,5.71393208847333,1.45392249566594,0.148027634510518,0.274784553390204,-5.72616416740181
"23430","7104",0.124921932943755,6.21424654958,1.45388810034669,0.148037159716224,0.274784553390204,-5.7262131627765
"3425","8881",-0.129752148756533,8.03342369863333,-1.45377428565047,0.148068682155372,0.274823489194219,-5.7263752812702
"742","195977",0.105851345987137,6.29360644201333,1.45370820577212,0.148086986200852,0.27483788714536,-5.72646940027513
"8211","51440",0.102622607424665,6.59020606186667,1.45359494060683,0.148118364573713,0.274876546248852,-5.72663071663336
"685","256006",0.0846299805347552,5.35885412147333,1.45343894274873,0.148161589779472,0.274937183512301,-5.7268528744371
