"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000169154.7",-0.0298965943705144,0.504354429802924,0.654826737099127,"GOT1L1"
"ENSG00000259086.3",-0.0299021885008174,0.50427463353137,0.654761775692088,"KIAA1143P1"
"ENSG00000284674.1",-0.0299145008595523,0.504099029921093,0.654563645082751,"LINC02781"
"ENSG00000185347.18",-0.0299190136625449,0.504034674640082,0.654509956960221,"TEDC1"
"ENSG00000130332.15",-0.0299222412416932,0.503988650074053,0.654480068217186,"LSM7"
"ENSG00000120210.8",-0.0299260094273893,0.503934919375586,0.654451877093598,"INSL6"
"ENSG00000234949.2",-0.0299361804193105,0.503789905874951,0.65429665148481,"AC104667.2"
"ENSG00000239288.1",-0.0299405959664595,0.503726957794924,0.654229832435261,"AC063923.1"
"ENSG00000260162.2",-0.0299414376359707,0.503714959416503,0.654229184231648,"AC134312.2"
"ENSG00000267789.1",-0.0299460360865147,0.503649409086195,0.654166694491742,"AC100775.1"
"ENSG00000287889.1",-0.0299699191938173,0.503309030644147,0.653746733646206,"FAM242B"
"ENSG00000215560.2",-0.0299766255162782,0.503213474935636,0.653667387312506,"TTTY5"
"ENSG00000286743.1",-0.0299786129619141,0.50318515845251,0.653645528685496,"AC127540.2"
"ENSG00000259744.1",-0.0299841734736936,0.503105938536518,0.65355754318107,"AC009269.4"
"ENSG00000212455.1",-0.0299865009034699,0.503072781886021,0.653529393306116,"AC079802.1"
"ENSG00000255147.1",-0.0299872431180561,0.5030622085117,0.653529393306116,"AP003385.4"
"ENSG00000005073.6",-0.0299909621508412,0.503009230009233,0.653506522411347,"HOXA11"
"ENSG00000258721.3",-0.0299930416829981,0.502979607862639,0.653482960267849,"OR11H3P"
"ENSG00000275091.1",-0.0299958432727668,0.502939701732457,0.653446035549217,"AC022098.4"
"ENSG00000235447.2",-0.0299977720693262,0.502912228727279,0.653425263290881,"TRAPPC13P1"
"ENSG00000255140.1",-0.0300144638223323,0.50267451112055,0.653161150192565,"OR5BN2P"
"ENSG00000286620.1",-0.0300173764577257,0.502633036543053,0.653137093119336,"AC239860.3"
"ENSG00000248586.2",-0.0300262838243445,0.502506210965837,0.653002121022347,"AC025470.1"
"ENSG00000259595.1",-0.0300363828336451,0.502362438856196,0.652845113726799,"AC025043.1"
"ENSG00000256403.1",-0.0300370468250763,0.502352986862342,0.652845113726799,"AP003785.1"
"ENSG00000214189.9",-0.0300385173712019,0.502332053804125,0.652835450969187,"ZNF788P"
"ENSG00000168904.15",-0.0300481445905257,0.502195022786323,0.652684157193377,"LRRC28"
"ENSG00000171195.11",-0.0300493165426462,0.50217834290955,0.652680838930031,"MUC7"
"ENSG00000265222.1",-0.0300499946466128,0.502168691888822,0.652680838930031,"AC079336.2"
"ENSG00000277794.1",-0.0300504892246696,0.502161652936867,0.652680838930031,"Metazoa_SRP"
"ENSG00000169208.3",-0.0300548597590708,0.50209945271883,0.652652428968731,"OR10G3"
"ENSG00000237289.10",-0.0300567717286801,0.502072243382231,0.652631971822914,"CKMT1B"
"ENSG00000215811.6",-0.0300635705013617,0.50197549600369,0.652536030117852,"BTNL10"
"ENSG00000123144.11",-0.0300670092570631,0.501926565829241,0.652517151697164,"TRIR"
"ENSG00000251574.8",-0.0300797401020383,0.501745440098996,0.652326401360882,"AC099520.1"
"ENSG00000114125.14",-0.0300821668423783,0.501710918016659,0.652296424934797,"RNF7"
"ENSG00000183145.9",-0.0300828631275357,0.501701013103688,0.652296424934797,"RIPPLY3"
"ENSG00000259673.6",-0.0300920602498967,0.501570190334087,0.6521581689066,"IQCH-AS1"
"ENSG00000232179.1",-0.030097264858492,0.501496166318996,0.652076823000495,"MTATP6P29"
"ENSG00000229503.1",-0.0301063570199102,0.501366864326173,0.651946520672758,"RPL21P37"
"ENSG00000235690.2",-0.0301111427476591,0.501298812318941,0.651879804559016,"CUBNP3"
"ENSG00000171241.9",-0.0301124313204735,0.501280489927439,0.651879804559016,"SHCBP1"
"ENSG00000132122.12",-0.0301144618902584,0.501251617698204,0.651863131702111,"SPATA6"
"ENSG00000249068.1",-0.0301152635319322,0.501240219571751,0.651863131702111,"AC008417.1"
