"gene_symbol","WT2921C_OE","WT2910C_OE","WT2898C_OE","WT2965C_OE","KO2912C_OE","KO2918C_OE","KO2960C_OE","KO2913C_OE","C2890WT","C2917WT","C2893WT","WT2868C","WT2881C","WT2882C","KO2868C","KO2881C","KO2882C"
"Mphosph10",1964.4473964663,1247.73562366061,1279.17916105219,1467.80692303441,1454.59887800937,1476.46758081904,1663.80862421249,1686.43251853985,1104.0721694506,957.600068411299,943.025838868528,1603.56648829862,1191.18620111212,1489.25429939046,1566.11740589492,1440.01347293305,1556.77066774193
"Mphosph6",1127.98003883474,940.768818158119,848.760818931459,942.901641304493,1076.83737834723,1023.12094051173,1225.54810405333,1097.7142575223,834.786274462647,790.576800665142,725.957391202144,1287.07310245021,1505.75614895891,1463.71759277581,890.042827038463,1050.19387481544,1108.75202333736
"Mphosph8",510.147192105588,710.295359010618,825.471650119315,671.24782271305,666.510232162502,520.318303079982,508.291840390782,429.273731991963,918.938116646381,809.50610434304,835.210384729596,362.209097137627,546.647776502978,468.946794196216,538.581674131136,672.521629613671,452.724722602098
"Mphosph9",182.739292694539,260.276061623471,269.119284051438,275.159029153913,211.676702396886,303.948315660583,245.109620810666,312.756576165573,395.513658263552,280.599089813543,369.447622849408,267.261081383103,174.883292684051,228.669600140234,357.969692775982,277.180507443401,240.009988073877
"Mpi",473.164240012646,587.111268776609,564.977984146449,590.627979776234,538.418689173617,590.38096567293,570.416398660767,519.216799647422,578.964674224094,489.93491872206,499.544937510386,413.785797053664,449.857023319352,468.946794196216,569.497238507243,581.96863515009,428.253115974957
"Mpig6b",0,0.993420082532332,0,0,0,0,2.25907484618125,0,0,2.22697690328209,0,4.68879090145795,12.0988441479532,3.48227817472437,1.62713496716355,1.10430481053148,0
"Mpl",0,0,0.862561807857174,2.62890792185267,4.34208620301304,0,0,0,0.841518421837346,0,0,1.17219772536449,3.29968476762361,0,0.813567483581776,0,0.9412156395054
"Mplkip",727.693969122897,480.815319945649,502.010972172875,495.11099194892,476.543960780681,545.046301642199,564.768711545314,569.298735046484,523.424458382829,498.842826335188,455.699986160554,756.067532860095,644.538424609145,802.084739578181,649.226851898257,501.354383981292,754.854942883331
"Mplkipl1",1.08773388508654,0.993420082532332,0.862561807857174,0.876302640617558,2.17104310150652,2.06066654685141,3.38861226927188,0,3.36607368734938,4.45395380656418,5.03138785981684,1.17219772536449,3.29968476762361,2.32151878314958,0.813567483581776,1.10430481053148,0
"Mpnd",1155.17338596191,1171.24227730562,1054.05052920147,1065.58401099095,1187.56057652407,1121.00260148717,1180.36660712971,954.623013524984,1259.75307749051,1398.54149526115,1296.66052844423,1372.64353640182,1347.37128011297,1255.94166168392,1104.01107522047,1044.67235076278,1258.40531001872
"Mpo",0,0.993420082532332,0.862561807857174,2.62890792185267,0,2.06066654685141,0,1.02208031426658,4.20759210918673,0,0,0,0,1.16075939157479,0,16.5645721579722,0
"Mpp1",2728.03658379705,2041.47826960394,2052.03454089222,2082.09507410732,2073.34616193873,2148.2448750926,2068.18302167894,2195.42851504461,1580.37159621054,2115.62805811799,1737.98512071959,2439.3434664835,2470.36399602754,2377.23523394517,1959.8840679485,1932.53341843009,2233.50471254632
"Mpp2",39.1584198631155,56.624944704343,32.7773486985726,58.7122769213764,72.7299439004684,122.609659537659,68.9017828085283,66.4352204273276,55.5402158412648,116.91628742231,82.6585148398481,39.8547226623926,72.5930648877194,46.4303756629917,28.4748619253622,26.5033154527555,16.0006658715918
"Mpp3",10.8773388508654,11.921040990388,7.76305627071456,25.4127765779092,37.9932542763641,39.1526643901769,23.7202858849032,24.5299275423979,15.9888500149096,14.4753498713336,6.46892724833594,18.7551636058318,24.1976882959065,31.3405035725194,16.2713496716355,16.5645721579722,29.1776848246674
"Mpp4",6.52640331051925,11.921040990388,11.2133035021433,8.76302640617558,18.4538663628054,13.3943325545342,18.07259876945,18.3974456567984,4.20759210918673,5.56744225820523,15.0941635794505,16.4107681551028,6.59936953524722,12.7683533073227,9.76280980298131,9.93874329478332,16.9418815110972
