"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000186283.14",0.117899725923053,0.00825203193568587,0.0250497592950464,"RPS4XP21"
"ENSG00000200789.1",0.117896883025189,0.00825359469161642,0.0250531685021839,"RNU6-485P"
"ENSG00000180806.5",0.117894478296167,0.00825491678993667,0.0250558468868791,"OR10Q1"
"ENSG00000261272.1",0.117879535435947,0.00826313647504625,0.0250794598638868,"OR4K16P"
"ENSG00000127585.12",0.117871277978356,0.00826768182267212,0.0250919189314344,"OR7A10"
"ENSG00000275092.1",0.117862862820843,0.00827231627138483,0.0251020350703019,"MREGP1"
"ENSG00000277413.1",0.117861912172209,0.00827283996426439,0.0251020350703019,"AL357054.3"
"ENSG00000285566.1",0.117861127028204,0.00827327250633002,0.0251020350703019,"U3"
"ENSG00000107447.8",0.117860426865648,0.00827365824845722,0.0251020350703019,"UBE2R2"
"ENSG00000229115.1",0.117857411018423,0.00827531995932406,0.0251057398893752,"CDPF1P1"
"ENSG00000258104.1",0.117848865759176,0.00828002995479153,0.0251186917347589,"AC084121.1"
"ENSG00000170919.16",0.117846851010555,0.00828114079683967,0.0251207242197999,"GPR37"
"ENSG00000279765.3",0.117838482975955,0.00828575597874801,0.025133386288264,"AC009318.3"
"ENSG00000255123.1",0.117829596890565,0.00829065939041267,0.0251455827287542,"AC084082.1"
"ENSG00000277617.1",0.117823808238396,0.00829385500624591,0.0251539361353469,"AC080013.3"
"ENSG00000265443.1",0.117817990935795,0.00829706754534352,0.0251623399755825,"AP003096.1"
"ENSG00000244345.1",0.117816690551489,0.00829778581953481,0.0251631790198463,"RPL17P19"
"ENSG00000136011.15",0.117812675143593,0.00830000410152546,0.0251685665323305,"EIF4E2"
"ENSG00000279486.5",0.117804995123056,0.00830424834473835,0.0251800965800094,"AL133520.1"
"ENSG00000175093.5",0.11780313526222,0.00830527645885951,0.0251818739904365,"YIF1A"
"ENSG00000248576.1",0.117799730010215,0.00830715914537808,0.0251849021156046,"AC007182.2"
"ENSG00000261514.1",0.117784164023775,0.00831577007398456,0.0252083255086298,"AC016266.1"
"ENSG00000259242.2",0.117777877883458,0.0083192497522294,0.0252161907618375,"ITFG2-AS1"
"ENSG00000199477.1",0.117766209324941,0.00832571229838317,0.0252344368337325,"Y_RNA"
"ENSG00000220008.3",0.117765104976043,0.00832632416585975,0.0252348382791931,"AP000354.1"
"ENSG00000168131.4",0.117764371671681,0.00832673047727117,0.0252348382791931,"SPINDOC"
"ENSG00000169504.15",0.117760795220984,0.00832871238092638,0.0252389173419394,"C22orf15"
"ENSG00000214193.11",0.117760344254688,0.00832896231547057,0.0252389173419394,"AL627422.1"
"ENSG00000104529.17",0.117756102876154,0.00833131329965727,0.0252433565419425,"GML"
"ENSG00000265916.1",0.117751830800633,0.00833368189739451,0.0252491906309053,"AC009139.2"
"ENSG00000231905.2",0.117744934139423,0.00833750693060238,0.0252594365383164,"AC000077.1"
"ENSG00000224730.1",0.117740923203612,0.00833973219993756,0.0252648349452199,"AC106786.1"
"ENSG00000236493.2",0.117732620528571,0.00834434021171079,0.0252774508029502,"HNRNPDLP2"
"ENSG00000270846.1",0.117729046957562,0.00834632425422791,0.0252821169703982,"MIR4319"
"ENSG00000255506.1",0.117726640803962,0.00834766038494852,0.0252848201358044,"AC021744.1"
"ENSG00000243305.1",0.117713763573478,0.00835481431985674,0.0253051440365575,"AL512306.2"
"ENSG00000250307.2",0.117711021070492,0.00835633862122837,0.0253084155935056,"AC009720.1"
"ENSG00000264196.1",0.11770989724519,0.00835696332243292,0.0253089623744645,"AC008567.1"
"ENSG00000270606.1",0.11770254777315,0.0083610497032238,0.0253199921949084,"AC005544.2"
"ENSG00000224382.2",0.117688330212586,0.00836895986911289,0.0253412531779106,"RN7SKP194"
"ENSG00000275476.1",0.117683763237154,0.00837150219436922,0.0253476043645971,"AL596092.1"
"ENSG00000262492.1",0.117677590267603,0.00837493963251501,0.0253566649947045,"UBE2Q2P2"
"ENSG00000242493.3",0.117666831481279,0.0083809337064407,0.0253734649342064,"RN7SL691P"
"ENSG00000257636.6",0.117663114320692,0.00838300554801107,0.0253783890729582,"OR4R3P"
"ENSG00000251285.2",0.117655514945085,0.00838724264934437,0.0253878218418587,"AL121809.1"
"ENSG00000276729.1",0.117655128739283,0.00838745803290552,0.0253878218418587,"TEKT4P3"
"ENSG00000231058.1",0.117652751228283,0.00838878405841902,0.0253904867965991,"AC104115.1"
"ENSG00000187959.9",0.117649186131806,0.0083907727944717,0.0253951571998615,"B3GLCT"
"ENSG00000279659.1",0.117647462976177,0.00839173418192464,0.0253967179424393,"MIR6774"
"ENSG00000269938.1",0.117641857048568,0.00839486253522739,0.0254048362695731,"AC006141.1"
"ENSG00000267511.1",0.11763884084413,0.00839654613976544,0.025407765662701,"ROCK1P1"
"ENSG00000134438.10",0.117638525224268,0.00839672233190576,0.025407765662701,"ROCK2"
"ENSG00000238005.4",0.117635520409158,0.00839839990985317,0.0254114924205259,"AC093106.2"
"ENSG00000184047.20",0.117628434103676,0.00840235735345824,0.0254207669298823,"BPY2"
"ENSG00000212374.1",0.117622066475658,0.0084059148602622,0.0254288296162986,"MIR100"
"ENSG00000201426.1",0.117620732754791,0.00840666016199724,0.0254297341769265,"RNU1-42P"
"ENSG00000285773.1",0.117617532099811,0.00840844897281933,0.0254337950377014,"Metazoa_SRP"
"ENSG00000214145.7",0.117605285044323,0.00841529685182982,0.0254531572755515,"AL365357.1"
"ENSG00000101452.15",0.117603160628233,0.00841648521432099,0.0254552527177348,"SPINT3"
"ENSG00000165996.14",0.11760244937757,0.008416883109367,0.0254552527177348,"SHLD2P1"
"ENSG00000256223.6",0.117592604808896,0.00842239218070336,0.025470561981141,"AC103831.1"
"ENSG00000226397.8",0.117588287939396,0.00842480893701746,0.0254765184970648,"RPL21P107"
"ENSG00000254377.6",0.117584970941299,0.0084266663453906,0.0254796038506328,"AC115085.1"
"ENSG00000132207.18",0.11758486879565,0.00842672354934409,0.0254796038506328,"C19orf57"
"ENSG00000185842.15",0.117579665210019,0.00842963813721977,0.0254870641354621,"AHNAK2"
"ENSG00000282865.1",0.117574665017005,0.00843243964938464,0.0254941817616377,"AL021155.1"
"ENSG00000254538.1",0.117572777876317,0.00843349719385681,0.0254960262947344,"RNA5SP254"
"ENSG00000255928.1",0.117562690268319,0.00843915224627306,0.025511769014,"AC100807.2"
