"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000272382.1",0.161405876558263,0.252982483616539,0.513098835802538,"AC025171.5"
"ENSG00000279567.1",0.161344598022851,0.253165095049846,0.513264847678777,"AC005703.4"
"ENSG00000196172.9",0.161327833556647,0.253215069046149,0.513299891046802,"ZNF681"
"ENSG00000262312.2",0.1613163112387,0.253249420335468,0.513321662981017,"AC004494.1"
"ENSG00000211801.3",0.161251172877132,0.253443675399401,0.51354795151495,"TRAV21"
"ENSG00000229018.5",0.161249236097307,0.253449452787294,0.51354795151495,"PMS2P7"
"ENSG00000211793.2",0.161232695665002,0.253498796294401,0.513628029582591,"TRAV9-2"
"ENSG00000139438.6",0.161228102012829,0.253512501253086,0.513635894994677,"FAM222A"
"ENSG00000274507.1",0.161214085888906,0.253554320832366,0.513660915191337,"AL121772.2"
"ENSG00000251273.4",0.161189100976026,0.253628879279286,0.513732344320534,"LINC02228"
"ENSG00000263015.1",0.161159257575238,0.253717955523571,0.51387295876252,"AC015853.2"
"ENSG00000168826.16",0.161130569884236,0.253803602122474,0.51398669834942,"ZBTB49"
"ENSG00000225178.5",0.161052466069791,0.254036878569525,0.514330509700166,"RPSAP58"
"ENSG00000109390.13",0.161050675492214,0.254042228270309,0.514330509700166,"NDUFC1"
"ENSG00000228586.1",0.161005775798487,0.254176399743083,0.514562304625269,"AC005042.1"
"ENSG00000244380.1",0.160980975580498,0.254250529468543,0.514692448137074,"AC134772.1"
"ENSG00000243960.1",0.160974682645343,0.254269341847185,0.51471060415189,"AL390195.1"
"ENSG00000274759.1",0.160942866440137,0.254364468994578,0.514863303497755,"RNA5SP527"
"ENSG00000258841.1",0.160916460039194,0.254443439619573,0.515003213372603,"EEF1A1P2"
"ENSG00000250011.1",0.16085786442443,0.254618733933437,0.515318121173769,"HMGB1P3"
"ENSG00000183826.18",0.160837291471355,0.254680299179491,0.515412656800697,"BTBD9"
"ENSG00000285280.2",0.160834343438758,0.254689122087365,0.515412656800697,"AL390957.1"
"ENSG00000142875.19",0.160829791132589,0.254702746689654,0.515412656800697,"PRKACB"
"ENSG00000237556.1",0.160825178667856,0.254716551841894,0.515416345314067,"KCND3-AS1"
"ENSG00000124399.4",0.160805949173596,0.254774111344245,0.515453027977528,"NDUFB4P12"
"ENSG00000214754.3",0.160772947616047,0.254872915104113,0.51563297445945,"AC004870.1"
"ENSG00000086015.22",0.160761976376984,0.254905767750378,0.515679486590301,"MAST2"
"ENSG00000282793.1",0.160735269294053,0.254985752270321,0.515761479264354,"AC090164.4"
"ENSG00000275036.1",0.160700043220541,0.255091276024873,0.515895096966335,"MIR8086"
"ENSG00000261092.1",0.160693599764494,0.255110581323223,0.515901203900928,"LINC02178"
"ENSG00000104863.12",0.160678930659248,0.255154535238888,0.515918756362743,"LIN7B"
"ENSG00000273816.1",0.160676381217713,0.255162174803437,0.515918756362743,"AC005695.3"
"ENSG00000236170.1",0.160659335975311,0.255213255923859,0.516002085646997,"IGHD1-1"
"ENSG00000239919.1",0.160647493702234,0.255248748862668,0.516053892792022,"SNRPGP3"
"ENSG00000279960.1",0.160642251052798,0.255264462874401,0.516065709064319,"AL137783.1"
"ENSG00000225871.2",0.160612342677247,0.255354120966546,0.516187096734051,"AC245100.2"
"ENSG00000240096.1",0.160604980947825,0.255376192909554,0.516191802970647,"AL132838.1"
"ENSG00000230155.6",0.160599473401713,0.255392706479513,0.516193816742197,"CEP250-AS1"
"ENSG00000142544.7",0.160598063805417,0.255396933063118,0.516193816742197,"CTU1"
"ENSG00000272161.1",0.160580590381874,0.255449329911205,0.516279762358031,"AL589739.1"
"ENSG00000254699.1",0.160574363696166,0.255468003372366,0.516297546799275,"LINC02695"
"ENSG00000070190.13",0.160555993246206,0.255523100622975,0.516388939030484,"DAPP1"
"ENSG00000272267.2",0.16052520091884,0.255615471931912,0.516535686035235,"AC021242.3"
"ENSG00000229954.1",0.160518306802023,0.255636156094664,0.516549134974097,"MTND2P2"
"ENSG00000253352.10",0.160508517138217,0.255665529597343,0.516556989069377,"TUG1"
"ENSG00000271118.1",0.160486887849463,0.255730435493585,0.516668163576526,"AC012119.2"
"ENSG00000261292.2",0.160436330763648,0.255882192196671,0.516887343504631,"AC110491.1"
"ENSG00000253178.1",0.160434280758774,0.255888346955591,0.516887343504631,"AC022559.1"
"ENSG00000277040.1",0.160428855461099,0.255904635885529,0.516900278356643,"AL359736.2"
"ENSG00000168314.17",0.160406394334186,0.25597208067235,0.516996567124126,"MOBP"
"ENSG00000140107.12",0.160381676634377,0.256046315184791,0.517066611620806,"SLC25A47"
"ENSG00000285563.1",0.160376358540264,0.256062288878866,0.517078899482005,"AC106872.12"
"ENSG00000117595.12",0.160329396325028,0.256203376078206,0.517317797333484,"IRF6"
"ENSG00000222467.1",0.160319363055192,0.256233525521356,0.517328773147591,"Y_RNA"
"ENSG00000277957.1",0.160316257950834,0.256242856679238,0.517328773147591,"SENP3-EIF4A1"
"ENSG00000261665.2",0.160307676028962,0.256268647427184,0.517338221641227,"TUBAP4"
"ENSG00000214794.4",0.160307273146488,0.256269858229284,0.517338221641227,"KRT18P42"
"ENSG00000261320.1",0.160294176728432,0.2563092196232,0.517397289217922,"AC009061.1"
"ENSG00000286402.1",0.160290953399271,0.256318907990228,0.517397289217922,"AC090629.1"
"ENSG00000077984.6",0.160268744585809,0.256385667769392,0.517492093800423,"CST7"
"ENSG00000104918.8",0.160249327561877,0.256444045010976,0.517569965631424,"RETN"
"ENSG00000283473.4",0.160240902711593,0.256469377089553,0.517601113845985,"FAM240A"
"ENSG00000197622.13",0.160198286202255,0.256597543434842,0.51781332481393,"CDC42SE1"
"ENSG00000178597.7",0.160190880243272,0.256619820765885,0.51781332481393,"PSAPL1"
"ENSG00000232986.1",0.160190437630961,0.256621152197285,0.51781332481393,"AL139081.1"
"ENSG00000245573.9",0.160187586046988,0.256629730218504,0.51781332481393,"BDNF-AS"
"ENSG00000222691.1",0.160180742689189,0.256650316922101,0.517817944882501,"RNU6-733P"
"ENSG00000084764.12",0.160174804235553,0.2566681823259,0.517817944882501,"MAPRE3"
"ENSG00000234592.1",0.160172579449515,0.256674875647685,0.517817944882501,"AL359845.1"
"ENSG00000254177.1",0.160172256906217,0.256675846036634,0.517817944882501,"AC079209.2"
"ENSG00000231861.2",0.160155480224675,0.256726322995013,0.517886893077206,"OR5K2"
"ENSG00000145907.16",0.160149291482471,0.256744945103622,0.517886893077206,"G3BP1"
"ENSG00000234080.3",0.160145751800173,0.256755596521261,0.517886893077206,"AL596275.1"
"ENSG00000260471.1",0.16012399975928,0.256821058098938,0.517990985802713,"PPIAP49"
"ENSG00000170265.12",0.160095490434531,0.256906872362498,0.518064151521891,"ZNF282"
"ENSG00000226917.6",0.160089784661368,0.256924049296577,0.518078809674472,"LINC01276"
"ENSG00000254946.2",0.160080040116074,0.25695338653189,0.5181179865944,"LINC02751"
"ENSG00000135446.17",0.160074372051227,0.256970452023702,0.518123657162144,"CDK4"
"ENSG00000258459.1",0.160072523955112,0.256976016463177,0.518123657162144,"AL356019.1"
"ENSG00000258050.2",0.16004978916682,0.257044475356724,0.518199713144799,"AL139316.1"
"ENSG00000283390.1",0.160048951115271,0.257046999128355,0.518199713144799,"AC068631.3"
"ENSG00000260860.2",0.160046832460829,0.257053379478471,0.518199713144799,"AC126773.5"
"ENSG00000235211.4",0.160029854929375,0.257104511341778,0.518225671649198,"TMSB10P2"
"ENSG00000162086.16",0.160029394076891,0.257105899403765,0.518225671649198,"ZNF75A"
"ENSG00000280172.1",0.15998263161491,0.257246771549246,0.518449660340663,"FP475955.4"
"ENSG00000163982.6",0.159930532753308,0.25740378077628,0.518706115808961,"OTOP1"
"ENSG00000110375.3",0.159924866850813,0.257420859871695,0.51872054190262,"UPK2"
"ENSG00000204544.5",0.159908438008946,0.257470386699665,0.51874189814419,"MUC21"
"ENSG00000257139.1",0.159904389689741,0.257482591855798,0.518744981334199,"LINC02821"
"ENSG00000168267.7",0.159800488417687,0.257795973869605,0.51919630542186,"PTF1A"
"ENSG00000254049.2",0.159758610505723,0.257922356508767,0.519350820220538,"NRG1-IT3"
"ENSG00000177971.8",0.159745158245791,0.257962962695054,0.519392582070146,"IMP3"
"ENSG00000136143.16",0.15971310891472,0.258059722206115,0.519395810967698,"SUCLA2"
"ENSG00000244621.1",0.159702182000762,0.258092717016486,0.519395810967698,"RPS17P11"
"ENSG00000172766.19",0.159675544567628,0.258173163052677,0.519395810967698,"NAA16"
"ENSG00000232239.2",0.159663540981063,0.258209419838486,0.519401515155437,"RBPJP5"
"ENSG00000122873.12",0.159663399430455,0.258209847411956,0.519401515155437,"CISD1"
"ENSG00000150477.15",0.15966145147289,0.258215731539436,0.519401515155437,"KIAA1328"
"ENSG00000185038.14",0.15963527802024,0.258294801517492,0.519520593781903,"MROH2A"
"ENSG00000249541.1",0.15962117909343,0.258337401107626,0.519586289965254,"AC116359.1"
"ENSG00000242276.2",0.159599294652111,0.258403533808572,0.519659335383887,"RPL5P3"
"ENSG00000176381.6",0.159551051716957,0.258549359559401,0.519872619188677,"PRR18"
"ENSG00000221953.5",0.159520431479935,0.258641945197972,0.520038786143842,"C1orf229"
"ENSG00000232453.7",0.159481458065303,0.258759820350783,0.520215780934372,"LINC02777"
"ENSG00000138964.17",0.159463650452761,0.258813691515014,0.520280664058153,"PARVG"
"ENSG00000235461.2",0.159412695034212,0.258967882259027,0.520493988139692,"AC003001.1"
"ENSG00000224107.5",0.159392929944458,0.259027707891474,0.520594219853837,"ETDB"
"ENSG00000215448.3",0.15938445586824,0.259053360351103,0.520622013010189,"SRMP1"
"ENSG00000231083.1",0.159359655103894,0.259128446258043,0.520678307948884,"AC011747.1"
"ENSG00000242147.3",0.159354989111363,0.259142574483803,0.520678307948884,"LASTR"
"ENSG00000234402.1",0.159349794835399,0.259158302915128,0.520678307948884,"ELK2BP"
"ENSG00000254252.1",0.159343273086388,0.259178051884593,0.520679173344963,"RPL7P20"
"ENSG00000132704.16",0.159341249378452,0.259184180223222,0.520679173344963,"FCRL2"
"ENSG00000256254.1",0.159336214431089,0.25919942783701,0.520679173344963,"AP000619.3"
"ENSG00000287221.1",0.159321373203273,0.259244375865683,0.520733746392883,"AL589794.2"
"ENSG00000258925.2",0.159320667796675,0.259246512385005,0.520733746392883,"NPM1P5"
"ENSG00000212296.1",0.159275843176072,0.259382300419299,0.520964518144054,"SNORD72"
