"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000225016.1",0.0413827862159389,0.355301822270024,0.51722334997546,"LINC00328-2P"
"ENSG00000230398.1",0.0413766657115992,0.355373043324338,0.517308179584716,"HINT2P1"
"ENSG00000225585.1",0.0413754239526336,0.35538749410888,0.517315999535524,"IPPKP1"
"ENSG00000254992.1",0.0413685990841997,0.355466924094847,0.517415430782248,"AP001582.1"
"ENSG00000234782.3",0.0413679943515523,0.355473962703931,0.517415430782248,"TPT1P9"
"ENSG00000079841.18",0.041366016054459,0.355496989127805,0.517435729475106,"RIMS1"
"ENSG00000082516.9",0.0413626956908871,0.355535638666775,0.517476363582782,"GEMIN5"
"ENSG00000279145.2",0.0413483720339324,0.355702398510748,0.517642149649877,"AC011912.1"
"ENSG00000253866.1",0.0413461678677434,0.35572806436897,0.517666279390343,"TMEM97P2"
"ENSG00000174775.17",0.0413207141227118,0.356024538463581,0.518018339875219,"HRAS"
"ENSG00000174339.2",0.041309974579475,0.356149674549032,0.518187181918606,"OR2Y1"
"ENSG00000178105.11",0.0413062933798976,0.356192573880281,0.51822313423394,"DDX10"
"ENSG00000138629.16",0.041296372805331,0.356308200737211,0.518351654059615,"UBL7"
"ENSG00000225791.7",0.041288667791683,0.356398020932696,0.518441553089198,"TRAM2-AS1"
"ENSG00000089006.17",0.0412868212816306,0.356419548497011,0.518447458527766,"SNX5"
"ENSG00000254050.1",0.041283833847731,0.356454379268934,0.518471652460066,"AC018861.2"
"ENSG00000130939.20",0.0412817687269387,0.356478457956076,0.518493440187746,"UBE4B"
"ENSG00000227477.1",0.0412689446088378,0.356628006192864,0.518684476514257,"STK4-AS1"
"ENSG00000213190.4",0.0412562838227118,0.356775688395067,0.518846528693326,"MLLT11"
"ENSG00000269848.1",0.0412554894875547,0.356784955227016,0.518846528693326,"AC119751.8"
"ENSG00000246203.2",0.0412521322447772,0.356824122989844,0.518890244795945,"AL353807.3"
"ENSG00000251107.1",0.041238880242175,0.356978755781587,0.519061797207227,"PDCD5P2"
"ENSG00000236345.1",0.0412304439276487,0.357077217982749,0.519165547137736,"SCAT8"
"ENSG00000199471.1",0.0412135139144178,0.357274863574804,0.519388036475445,"Y_RNA"
"ENSG00000229168.4",0.0412134320354835,0.357275819618672,0.519388036475445,"RPL19P20"
"ENSG00000204370.13",0.0412093147174285,0.35732389677413,0.519419672067021,"SDHD"
"ENSG00000261045.2",0.0412048096710788,0.357376506013559,0.51947957741621,"LINC02129"
"ENSG00000253355.1",0.0412016401121544,0.357413522549668,0.51947957741621,"AP003469.1"
"ENSG00000267246.1",0.0412002330720281,0.357429955812989,0.51947957741621,"AC091132.5"
"ENSG00000257142.1",0.041192036560191,0.357525694876257,0.519586129035199,"AL512310.1"
"ENSG00000287522.1",0.0411736500878135,0.357740515951418,0.519838123566872,"AC138420.1"
"ENSG00000179104.9",0.0411445754630656,0.358080378906956,0.520252379471615,"TMTC2"
"ENSG00000253220.2",0.0411197914711482,0.358370247082478,0.520620390579392,"AC084116.1"
"ENSG00000239555.3",0.0411182391538378,0.358388407543434,0.520620390579392,"RN7SL841P"
"ENSG00000196248.5",0.0410870372112068,0.358753559447012,0.521016565285585,"OR10S1"
"ENSG00000152433.15",0.0410739299473052,0.358907021431426,0.521107937015775,"ZNF547"
"ENSG00000237008.2",0.0410706470734102,0.358945464296562,0.521150473961229,"LAPTM4BP1"
"ENSG00000259743.2",0.0410624376602879,0.359041608848981,0.521276783291049,"AC068714.1"
"ENSG00000252756.1",0.0410579680524348,0.359093961451526,0.521339508190721,"RNU6-577P"
"ENSG00000257668.1",0.0410559707616825,0.359117357302697,0.521360190997605,"AC084033.2"
"ENSG00000169242.12",0.0410474813232611,0.35921681148773,0.521464868641991,"EFNA1"
"ENSG00000225251.1",0.0410459103042487,0.359235217944099,0.521464868641991,"RPL5P25"
"ENSG00000256298.1",0.0410443527939715,0.359253466712011,0.52147807379231,"AC135388.1"
"ENSG00000227616.1",0.0410378015733544,0.359330231283432,0.521549643607958,"AC063976.3"
"ENSG00000278957.1",0.0410327582881907,0.359389333472638,0.521622140416321,"AC012354.9"
"ENSG00000271111.1",0.0410261032456393,0.359467333143541,0.521698123899761,"AL365503.1"
"ENSG00000182004.13",0.0410196029514575,0.359543529339611,0.521752912068975,"SNRPE"
"ENSG00000257687.1",0.0410124807004915,0.359627027702205,0.521802177982053,"AC079600.2"
"ENSG00000226075.2",0.0410111711143762,0.359642382076846,0.521803340033121,"PHKG1P1"
"ENSG00000268006.1",0.0410086930933064,0.359671437008487,0.521828824292379,"PTOV1-AS1"
"ENSG00000235959.1",0.0410081109848542,0.359678262474916,0.521828824292379,"AC009237.6"
"ENSG00000240940.3",0.0410020389053996,0.359749464996362,0.521905549429888,"RN7SL591P"
"ENSG00000127588.5",0.0409876568034153,0.35991814785389,0.522070617682007,"GNG13"
"ENSG00000220748.2",0.0409819706725597,0.35998485223531,0.522153977833729,"AL032822.1"
"ENSG00000222971.1",0.0409798305775049,0.360009959838021,0.522173062860663,"RNA5SP222"
"ENSG00000224656.1",0.040973381496619,0.360085627106767,0.52222038987454,"SMSP1"
"ENSG00000280060.1",0.0409714558372153,0.360108222859048,0.522226576573638,"AL512506.2"
"ENSG00000255860.3",0.0409554934254902,0.360295560505847,0.522365307953378,"AP000812.2"
"ENSG00000214487.3",0.0409532930221146,0.360321389606008,0.522389463937611,"OR7E148P"
"ENSG00000092421.17",0.0409503510617712,0.360355925170122,0.522412840539778,"SEMA6A"
"ENSG00000234573.1",0.0409502680269549,0.360356899942828,0.522412840539778,"AL121890.1"
"ENSG00000177855.8",0.0409495764763828,0.360365018343948,0.522412840539778,"CACYBPP2"
"ENSG00000213455.3",0.0409448168899212,0.360420896222759,0.522475274879991,"PPIAP82"
"ENSG00000285204.1",0.0409443460096293,0.360426424685118,0.522475274879991,"AC139834.1"
"ENSG00000288524.1",0.0409372183359919,0.36051011501514,0.522556710937847,"AC013474.2"
"ENSG00000141854.9",0.040927742569901,0.360621394545137,0.522691052231595,"MISP3"
"ENSG00000276366.1",0.0409242146363406,0.360662830646313,0.522711586963515,"U3"
"ENSG00000283584.1",0.0409212783017874,0.360697320600788,0.522748277466579,"AC007222.1"
"ENSG00000229165.1",0.0409137577764698,0.360785665508198,0.52284971658289,"GDI2P1"
"ENSG00000107742.13",0.040903055423334,0.360911411229258,0.522978743311912,"SPOCK2"
"ENSG00000221883.4",0.0408884564960482,0.361082983364874,0.523187445331686,"ARIH2OS"
"ENSG00000214561.3",0.0408817473584197,0.361161848799758,0.523259706328425,"RBBP4P4"
"ENSG00000205864.1",0.0408720034271202,0.361276407196406,0.523350383989107,"KRTAP5-6"
"ENSG00000223595.1",0.0408710784224907,0.361287283561108,0.523350383989107,"LYPLA1P1"
"ENSG00000153779.11",0.0408625216945414,0.361387904756071,0.523442913088603,"TGIF2LX"
"ENSG00000232947.1",0.0408257960725559,0.361819971557015,0.523935547631265,"LINC02543"
