"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
1.15192682896649,-4.25697932274239,10.6673881608085,4.24520948873186e-24,2.61296049279699e-22,43.9516035397729,"LNCAROD"
1.19847581751631,-4.00770177180475,10.6657155438214,4.30802520034645e-24,2.64879113546942e-22,43.9371622667032,"LINC01684"
1.36264766339697,-3.14317747503779,10.6396874664081,5.41334792355505e-24,3.32484709712479e-22,43.7085224135917,"GBP6"
1.07482601104218,0.882899477818572,10.6225927608264,6.28823841049775e-24,3.85397359450634e-22,43.446473651887,"FPR1"
1.49581223989778,-4.41599040774198,10.6199277723317,6.43674368557744e-24,3.9407936074998e-22,43.5383369183746,"LINC02397"
1.32358323088925,-5.22297900648334,10.6062267681419,7.25701374204771e-24,4.42885621267069e-22,43.3973558137838,"AC142381.1"
1.12579182700216,-1.81491495060181,10.6009595478241,7.59929035316007e-24,4.63283008288519e-22,43.3559907392808,"PTGDR"
1.45879029206168,2.32036651662113,10.6002698066441,7.64528278613193e-24,4.65593676552267e-22,43.1651462060022,"MMP9"
1.24876173717024,-4.29985375023721,10.5931839834937,8.13407963151338e-24,4.94837508238473e-22,43.3113071520629,"FXYD7"
2.077619994352,0.577617269905295,10.5703568454588,9.92977421158461e-24,6.01535269343889e-22,43.012382663509,"IGHD"
1.441477705217,-4.08020998953973,10.5577842222551,1.10816393072957e-23,6.70608141046129e-22,43.0069827345153,"LINC00494"
1.22543898241267,-4.8372049734929,10.554541058577,1.13997045164798e-23,6.89131297188461e-22,42.9726503443438,"TRAV25"
1.05630591703069,3.27208838102306,10.5503253097706,1.18267431607464e-23,7.13722581903386e-22,42.6590178697272,"ABI3BP"
2.11183569454537,-2.98446987771781,10.5502811397715,1.18313004888937e-23,7.13722581903386e-22,42.9366210718894,"IGHV3-13"
1.68795516783287,-2.40517069660176,10.5481672176476,1.20514601088687e-23,7.26242439021357e-22,42.9119964880002,"VNN3"
1.16220148543608,-1.89835123502821,10.5202885358195,1.53654742092551e-23,9.24015716554473e-22,42.6637867546132,"BHLHE22"
2.14006577589594,-3.15964472181026,10.5201123781819,1.53890595354525e-23,9.24468033679845e-22,42.6791206683931,"IGHV3-20"
1.89274887587038,-3.77800228705682,10.5061793514406,1.73730288712668e-23,1.04147688702229e-21,42.5629247973604,"IGLV2-28"
1.92625650742537,-4.17785096125976,10.5011191080306,1.81547908478529e-23,1.08720937907798e-21,42.5173262170186,"IGKV2D-40"
1.28445588428246,-4.6668374605307,10.5004004538728,1.82686136153352e-23,1.09288847563674e-21,42.5108228287992,"AC007569.1"
1.24689176902345,-4.83935037526376,10.4965882949093,1.88843520572093e-23,1.12855084204818e-21,42.4751819624202,"TRBV13"
1.92676228411127,-3.86067600496969,10.4924854147186,1.95700906025151e-23,1.16831816823106e-21,42.4455858986354,"IGKV6-21"
1.27972944922002,-4.42937859217609,10.4806172669021,2.16960487332519e-23,1.29121779172559e-21,42.3452657486225,"TRBV7-6"
1.69269687768317,-4.42622082509643,10.4534218400873,2.74720201125271e-23,1.62488669833087e-21,42.1085558363595,"IGHV1-45"
1.01615877626639,-0.64451305353047,10.4483927552447,2.8696494466089e-23,1.69382898104966e-21,42.0136618048314,"PELATON"
1.20495571921261,-3.97648529218768,10.4457406666981,2.93638930773244e-23,1.7314467690574e-21,42.0490687881071,"SMIM35"
2.21040891544144,-3.12369478155503,10.4456114990684,2.93967888944172e-23,1.73161228339172e-21,42.0416411998423,"IGLC7"
1.42406850766891,-4.88278684632533,10.4442996516312,2.97329644473103e-23,1.74962382816228e-21,42.0241528207194,"COPDA1"
2.28977922443447,-1.17937486226793,10.4324535165747,3.29468701051492e-23,1.93478813729728e-21,41.894799230243,"IGHV1-3"
1.55315012959163,-4.84276647988067,10.4298682238267,3.36928824512708e-23,1.97658041291604e-21,41.8991387753601,"IGKV1D-33"
2.26465239060083,-0.281959301374316,10.4171464923477,3.76154325209856e-23,2.19996762355968e-21,41.7342540370586,"IGHV1-2"
2.19834809421655,-1.64318280860607,10.3865969952156,4.89855651571505e-23,2.8535428401478e-21,41.515724405514,"IGHV4-4"
1.38731809078658,-5.06837977074207,10.3754442485713,5.39373549797068e-23,3.13228534720699e-21,41.4298238596578,"IGHV1OR15-9"
1.25298192584839,-4.05414308573514,10.3749114029236,5.41859941658697e-23,3.1435523833123e-21,41.4464867420265,"AC015911.7"
2.09869694307326,-3.11276526811757,10.3692641884852,5.68920983667589e-23,3.29390368310561e-21,41.3920090513156,"IGHV2-70"
1.05172728483621,0.591317291851887,10.369062376371,5.69912495247222e-23,3.29632805039976e-21,41.2835281242149,"IGF2BP2"
1.26367284719976,-3.67351390289817,10.3644542259793,5.93025305783931e-23,3.42656690239611e-21,41.3566572814178,"GPA33"
1.30418463771787,-5.21417813991539,10.3538255115645,6.49945023513639e-23,3.7441777881091e-21,41.2373237723255,"IGHV3-71"
1.14610141549824,-4.99071149396194,10.3461916205971,6.94142750544533e-23,3.99479152938379e-21,41.1907023217014,"TRAV36DV7"
1.30389455204886,-4.04621082105973,10.3310288017218,7.90971282453507e-23,4.54749223828165e-21,41.0742990944661,"TNFSF11"
