"sample","group","sample_type","gene","expr"
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","CHGA",6.50660816827628
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","CHGA",7.11965042270897
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","CHGA",6.25358934370314
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","CHGA",6.70257254751631
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","CHGA",6.45882942311567
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","CHGA",6.67616190923844
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","CHGB",6.50133466600378
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","CHGB",6.57995765289907
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","CHGB",6.57608986893964
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","CHGB",6.25358934370314
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","CHGB",6.5135056205549
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","CHGB",6.50485042794502
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","CHGB",6.67616190923844
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","TFRC",11.7253862287471
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","TFRC",11.8590526091329
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","TFRC",11.141831062668
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","TFRC",9.50418897404991
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","TFRC",11.0974555865701
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","TFRC",11.7547146009826
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","TFRC",11.0662403410196
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","NCAM1",9.99617360937962
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","NCAM1",10.1760766942009
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","NCAM1",9.72115564844433
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","NCAM1",9.88439151563333
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","NCAM1",9.87298226031788
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","NCAM1",10.1135948641202
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","NCAM1",9.86760879689018
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","SCG2",6.45595524919023
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","SCG2",6.25358934370314
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","SCG2",6.25358934370314
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","SCG2",6.25358934370314
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","SCG2",6.25358934370314
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","SCG2",6.50485042794502
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","SCG2",6.25358934370314
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","SYP",6.70462523172187
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","SYP",6.71417021028837
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","SYP",6.54216223643939
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","SYP",6.25358934370314
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","SYP",6.46590557075079
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","SYP",6.57769414496019
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","SYP",6.84909903803206
"T1579KO_MKRN260030400-1A_23M5KWLT4_L1","KO","original tumor","FOLH1",6.39674225251126
"T2054WT_MKRN260030401-1A_23M5KWLT4_L2","WT","original tumor","FOLH1",7.05753145011281
"T2055KO_MKRN260030402-1A_23M5KWLT4_L1","KO","original tumor","FOLH1",6.45781097870494
"T2498WT_MKRN260030403-1A_23M5KWLT4_L1","WT","original tumor","FOLH1",7.43178281698479
"T2675KO_MKRN260030405-1A_23M5KWLT4_L1","KO","original tumor","FOLH1",6.46590557075079
"T2785WT_MKRN260030406-1A_23M5KWLT4_L3","WT","original tumor","FOLH1",6.60847996249153
"T2552WT_MKRN260030404-1A_23M5KWLT4_LX","WT","original tumor","FOLH1",6.84909903803206
