"sample","sample_short","sample_short10","wtko","condition","group","gene","expr"
"WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1_WT2965C_OE_MKRN260030410-1A_23M5KWLT4_L1","WT2965C","WT2965C_OE","WT","control","WT_control","ERG",8.4649457056211
"KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1_KO2897P_OE_MKRN260030419-1A_23M5KWLT4_L1","KO2897P","KO2897P_OE","KO","treated","KO_treated","ERG",8.25603281781322
"KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1_KO2908P_OE_MKRN260030420-1A_23M5KWLT4_L1","KO2908P","KO2908P_OE","KO","treated","KO_treated","ERG",9.01906808607465
"KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1_KO2912C_OE_MKRN260030414-1A_23M5KWLT4_L1","KO2912C","KO2912C_OE","KO","control","KO_control","ERG",9.28663656371669
"KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1_KO2913C_OE_MKRN260030417-1A_23M5KWLT4_L1","KO2913C","KO2913C_OE","KO","control","KO_control","ERG",8.70050414110872
"KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1_KO2918C_OE_MKRN260030415-1A_23M5KWLT4_L1","KO2918C","KO2918C_OE","KO","control","KO_control","ERG",9.12098116242096
"KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1_KO2960C_OE_MKRN260030416-1A_23M5KWLT4_L1","KO2960C","KO2960C_OE","KO","control","KO_control","ERG",8.47368140394923
"KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1_KO2966P_OE_MKRN260030418-1A_23M5KWLT4_L1","KO2966P","KO2966P_OE","KO","treated","KO_treated","ERG",8.52466479966066
"WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1_WT2888P_OE_MKRN260030412-1A_23M5KWLT4_L1","WT2888P","WT2888P_OE","WT","treated","WT_treated","MKI67",12.2885703774025
"WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1_WT2896P_OE_MKRN260030411-1A_23M5KWLT4_L1","WT2896P","WT2896P_OE","WT","treated","WT_treated","MKI67",12.2749010549379
"WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1_WT2898C_OE_MKRN260030409-1A_23M5KWLT4_L1","WT2898C","WT2898C_OE","WT","control","WT_control","MKI67",12.2430877971404
