"sample_full","sample","PIP5K1A","subtype_code","subtype","median_cutoff","expr_group"
"TCGA-HZ-A77P-01A-11R-A33R-07","TCGA-HZ-A77P",10.983019458883,2,"Classical-like",11.2043363275436,"Low"
"TCGA-US-A77E-01A-11R-A32O-07","TCGA-US-A77E",11.0344696446201,2,"Classical-like",11.2043363275436,"Low"
"TCGA-IB-7645-01A-22R-2204-07","TCGA-IB-7645",11.620804647606,2,"Classical-like",11.2043363275436,"High"
"TCGA-2J-AABF-01A-31R-A41B-07","TCGA-2J-AABF",11.1534602247607,2,"Classical-like",11.2043363275436,"Low"
"TCGA-FB-AAPU-01A-31R-A41B-07","TCGA-FB-AAPU",11.9172160091288,2,"Classical-like",11.2043363275436,"High"
"TCGA-HZ-A8P0-01A-11R-A36G-07","TCGA-HZ-A8P0",11.5409956882211,2,"Classical-like",11.2043363275436,"High"
"TCGA-IB-A5SO-01A-11R-A32O-07","TCGA-IB-A5SO",10.9934924020753,2,"Classical-like",11.2043363275436,"Low"
"TCGA-IB-7649-01A-11R-2156-07","TCGA-IB-7649",10.8446394512698,2,"Classical-like",11.2043363275436,"Low"
"TCGA-FB-AAQ6-01A-11R-A41B-07","TCGA-FB-AAQ6",11.553632308487,2,"Classical-like",11.2043363275436,"High"
"TCGA-IB-7886-01A-11R-2156-07","TCGA-IB-7886",11.1975665173351,2,"Classical-like",11.2043363275436,"Low"
"TCGA-HV-AA8X-01A-11R-A39D-07","TCGA-HV-AA8X",11.2138538760305,2,"Classical-like",11.2043363275436,"High"
"TCGA-S4-A8RM-01A-11R-A37L-07","TCGA-S4-A8RM",11.6769601720927,2,"Classical-like",11.2043363275436,"High"
"TCGA-IB-AAUU-01A-11R-A37L-07","TCGA-IB-AAUU",11.5311991018022,2,"Classical-like",11.2043363275436,"High"
"TCGA-HZ-7919-01A-11R-2156-07","TCGA-HZ-7919",11.4783315090941,2,"Classical-like",11.2043363275436,"High"
"TCGA-IB-7652-01A-11R-2156-07","TCGA-IB-7652",11.0186135413469,2,"Classical-like",11.2043363275436,"Low"
"TCGA-HV-A5A5-01A-11R-A26U-07","TCGA-HV-A5A5",11.1327951989102,2,"Classical-like",11.2043363275436,"Low"
"TCGA-2L-AAQL-01A-11R-A38C-07","TCGA-2L-AAQL",10.6784347292867,2,"Classical-like",11.2043363275436,"Low"
"TCGA-HZ-A49H-01A-11R-A26U-07","TCGA-HZ-A49H",10.8982951720408,2,"Classical-like",11.2043363275436,"Low"
"TCGA-F2-A44G-01A-11R-A26U-07","TCGA-F2-A44G",11.4420596018119,2,"Classical-like",11.2043363275436,"High"
"TCGA-Q3-AA2A-01A-11R-A37L-07","TCGA-Q3-AA2A",11.1367557181568,2,"Classical-like",11.2043363275436,"Low"
"TCGA-HZ-A49G-01A-11R-A26U-07","TCGA-HZ-A49G",10.9700447270225,2,"Classical-like",11.2043363275436,"Low"
"TCGA-3A-A9IC-01A-11R-A38C-07","TCGA-3A-A9IC",11.4170827991869,2,"Classical-like",11.2043363275436,"High"
"TCGA-HZ-8003-01A-21R-2204-07","TCGA-HZ-8003",11.1710009035078,2,"Classical-like",11.2043363275436,"Low"
"TCGA-2J-AAB1-01A-11R-A41B-07","TCGA-2J-AAB1",11.0203608470946,2,"Classical-like",11.2043363275436,"Low"
"TCGA-Z5-AAPL-01A-12R-A41B-07","TCGA-Z5-AAPL",11.33277187054,2,"Classical-like",11.2043363275436,"High"
"TCGA-HZ-7922-01A-11R-2156-07","TCGA-HZ-7922",11.3300751502802,2,"Classical-like",11.2043363275436,"High"
"TCGA-IB-AAUT-01A-11R-A37L-07","TCGA-IB-AAUT",10.9125324177464,2,"Classical-like",11.2043363275436,"Low"
"TCGA-F2-6879-01A-11R-2156-07","TCGA-F2-6879",10.9869722722505,2,"Classical-like",11.2043363275436,"Low"
